ACCELERATION,BRAKE,STEERING,SPEED,TRACK_POSITION,ANGLE_TO_TRACK_AXIS,TRACK_EDGE_0,TRACK_EDGE_1,TRACK_EDGE_2,TRACK_EDGE_3,TRACK_EDGE_4,TRACK_EDGE_5,TRACK_EDGE_6,TRACK_EDGE_7,TRACK_EDGE_8,TRACK_EDGE_9,TRACK_EDGE_10,TRACK_EDGE_11,TRACK_EDGE_12,TRACK_EDGE_13,TRACK_EDGE_14,TRACK_EDGE_15,TRACK_EDGE_16,TRACK_EDGE_17
1.0,0.0,0.611021181307,7.08416666667e-06,0.333334,1.73028670467e-05,3.99999,4.1411,4.6188,5.65685,7.99999,11.6952,15.4548,23.0351,45.8949,200.0,91.7895,46.0701,30.9096,23.3904,16.0,11.3137,9.23761,8.28222,8.00001
1.0,0.0,-0.0692001384,7.08416666667e-06,0.333334,1.73028670467e-05,3.99999,4.1411,4.6188,5.65685,7.99999,11.6952,15.4548,23.0351,45.8949,200.0,91.7895,46.0701,30.9096,23.3904,16.0,11.3137,9.23761,8.28222,8.00001
1.0,0.0,-0.0705334744,7.08416666667e-06,0.333334,1.73028670467e-05,3.99999,4.1411,4.6188,5.65685,7.99999,11.6952,15.4548,23.0351,45.8949,200.0,91.7895,46.0701,30.9096,23.3904,16.0,11.3137,9.23761,8.28222,8.00001
1.0,0.0,-0.0718668104,7.08416666667e-06,0.333334,1.73028670467e-05,3.99999,4.1411,4.6188,5.65685,7.99999,11.6952,15.4548,23.0351,45.8949,200.0,91.7895,46.0701,30.9096,23.3904,16.0,11.3137,9.23761,8.28222,8.00001
1.0,0.0,-0.0732001464,7.08416666667e-06,0.333334,1.73028670467e-05,3.99999,4.1411,4.6188,5.65685,7.99999,11.6952,15.4548,23.0351,45.8949,200.0,91.7895,46.0701,30.9096,23.3904,16.0,11.3137,9.23761,8.28222,8.00001
1.0,0.0,-0.0745334824,7.08416666667e-06,0.333334,1.73028670467e-05,3.99999,4.1411,4.6188,5.65685,7.99999,11.6952,15.4548,23.0351,45.8949,200.0,91.7895,46.0701,30.9096,23.3904,16.0,11.3137,9.23761,8.28222,8.00001
1.0,0.0,-0.0758668184,7.08416666667e-06,0.333334,1.73028670467e-05,3.99999,4.1411,4.6188,5.65685,7.99999,11.6952,15.4548,23.0351,45.8949,200.0,91.7895,46.0701,30.9096,23.3904,16.0,11.3137,9.23761,8.28222,8.00001
1.0,0.0,-0.0772001544,7.08416666667e-06,0.333334,1.73028670467e-05,3.99999,4.1411,4.6188,5.65685,7.99999,11.6952,15.4548,23.0351,45.8949,200.0,91.7895,46.0701,30.9096,23.3904,16.0,11.3137,9.23761,8.28222,8.00001
1.0,0.0,-0.0785334904,7.08416666667e-06,0.333334,1.73028670467e-05,3.99999,4.1411,4.6188,5.65685,7.99999,11.6952,15.4548,23.0351,45.8949,200.0,91.7895,46.0701,30.9096,23.3904,16.0,11.3137,9.23761,8.28222,8.00001
1.0,0.0,-0.0798668264,7.08416666667e-06,0.333334,1.73028670467e-05,3.99999,4.1411,4.6188,5.65685,7.99999,11.6952,15.4548,23.0351,45.8949,200.0,91.7895,46.0701,30.9096,23.3904,16.0,11.3137,9.23761,8.28222,8.00001
1.0,0.0,-0.0812001624,7.08416666667e-06,0.333334,1.73028670467e-05,3.99999,4.1411,4.6188,5.65685,7.99999,11.6952,15.4548,23.0351,45.8949,200.0,91.7895,46.0701,30.9096,23.3904,16.0,11.3137,9.23761,8.28222,8.00001
1.0,0.0,-0.0825334984,7.08416666667e-06,0.333334,1.73028670467e-05,3.99999,4.1411,4.6188,5.65685,7.99999,11.6952,15.4548,23.0351,45.8949,200.0,91.7895,46.0701,30.9096,23.3904,16.0,11.3137,9.23761,8.28222,8.00001
1.0,0.0,-0.0838668344,7.08416666667e-06,0.333334,1.73028670467e-05,3.99999,4.1411,4.6188,5.65685,7.99999,11.6952,15.4548,23.0351,45.8949,200.0,91.7895,46.0701,30.9096,23.3904,16.0,11.3137,9.23761,8.28222,8.00001
1.0,0.0,-0.0852001704,7.08416666667e-06,0.333334,1.73028670467e-05,3.99999,4.1411,4.6188,5.65685,7.99999,11.6952,15.4548,23.0351,45.8949,200.0,91.7895,46.0701,30.9096,23.3904,16.0,11.3137,9.23761,8.28222,8.00001
1.0,0.0,-0.0865335064,7.08416666667e-06,0.333334,1.73028670467e-05,3.99999,4.1411,4.6188,5.65685,7.99999,11.6952,15.4548,23.0351,45.8949,200.0,91.7895,46.0701,30.9096,23.3904,16.0,11.3137,9.23761,8.28222,8.00001
1.0,0.0,-0.0878668424,7.08416666667e-06,0.333334,1.73028670467e-05,3.99999,4.1411,4.6188,5.65685,7.99999,11.6952,15.4548,23.0351,45.8949,200.0,91.7895,46.0701,30.9096,23.3904,16.0,11.3137,9.23761,8.28222,8.00001
1.0,0.0,-0.0892001784,7.08416666667e-06,0.333334,1.73028670467e-05,3.99999,4.1411,4.6188,5.65685,7.99999,11.6952,15.4548,23.0351,45.8949,200.0,91.7895,46.0701,30.9096,23.3904,16.0,11.3137,9.23761,8.28222,8.00001
1.0,0.0,-0.0905335144,7.08416666667e-06,0.333334,1.73028670467e-05,3.99999,4.1411,4.6188,5.65685,7.99999,11.6952,15.4548,23.0351,45.8949,200.0,91.7895,46.0701,30.9096,23.3904,16.0,11.3137,9.23761,8.28222,8.00001
1.0,0.0,-0.0918668504,7.08416666667e-06,0.333334,1.73028670467e-05,3.99999,4.1411,4.6188,5.65685,7.99999,11.6952,15.4548,23.0351,45.8949,200.0,91.7895,46.0701,30.9096,23.3904,16.0,11.3137,9.23761,8.28222,8.00001
1.0,0.0,-0.0932001864,7.08416666667e-06,0.333334,1.73028670467e-05,3.99999,4.1411,4.6188,5.65685,7.99999,11.6952,15.4548,23.0351,45.8949,200.0,91.7895,46.0701,30.9096,23.3904,16.0,11.3137,9.23761,8.28222,8.00001
1.0,0.0,-0.0945335224,7.08416666667e-06,0.333334,1.73028670467e-05,3.99999,4.1411,4.6188,5.65685,7.99999,11.6952,15.4548,23.0351,45.8949,200.0,91.7895,46.0701,30.9096,23.3904,16.0,11.3137,9.23761,8.28222,8.00001
1.0,0.0,-0.0958668584,7.08416666667e-06,0.333334,1.73028670467e-05,3.99999,4.1411,4.6188,5.65685,7.99999,11.6952,15.4548,23.0351,45.8949,200.0,91.7895,46.0701,30.9096,23.3904,16.0,11.3137,9.23761,8.28222,8.00001
1.0,0.0,-0.0972001944,7.08416666667e-06,0.333334,1.73028670467e-05,3.99999,4.1411,4.6188,5.65685,7.99999,11.6952,15.4548,23.0351,45.8949,200.0,91.7895,46.0701,30.9096,23.3904,16.0,11.3137,9.23761,8.28222,8.00001
1.0,0.0,-0.0985335304,7.08416666667e-06,0.333334,1.73028670467e-05,3.99999,4.1411,4.6188,5.65685,7.99999,11.6952,15.4548,23.0351,45.8949,200.0,91.7895,46.0701,30.9096,23.3904,16.0,11.3137,9.23761,8.28222,8.00001
1.0,0.0,-0.0998668664,7.08416666667e-06,0.333334,1.73028670467e-05,3.99999,4.1411,4.6188,5.65685,7.99999,11.6952,15.4548,23.0351,45.8949,200.0,91.7895,46.0701,30.9096,23.3904,16.0,11.3137,9.23761,8.28222,8.00001
1.0,0.0,-0.1012002024,7.08416666667e-06,0.333334,1.73028670467e-05,3.99999,4.1411,4.6188,5.65685,7.99999,11.6952,15.4548,23.0351,45.8949,200.0,91.7895,46.0701,30.9096,23.3904,16.0,11.3137,9.23761,8.28222,8.00001
1.0,0.0,-0.1025335384,7.08416666667e-06,0.333334,1.73028670467e-05,3.99999,4.1411,4.6188,5.65685,7.99999,11.6952,15.4548,23.0351,45.8949,200.0,91.7895,46.0701,30.9096,23.3904,16.0,11.3137,9.23761,8.28222,8.00001
1.0,0.0,-0.1038668744,7.08416666667e-06,0.333334,1.73028670467e-05,3.99999,4.1411,4.6188,5.65685,7.99999,11.6952,15.4548,23.0351,45.8949,200.0,91.7895,46.0701,30.9096,23.3904,16.0,11.3137,9.23761,8.28222,8.00001
1.0,0.0,-0.1052002104,7.08416666667e-06,0.333334,1.73028670467e-05,3.99999,4.1411,4.6188,5.65685,7.99999,11.6952,15.4548,23.0351,45.8949,200.0,91.7895,46.0701,30.9096,23.3904,16.0,11.3137,9.23761,8.28222,8.00001
1.0,0.0,-0.1065335464,7.08416666667e-06,0.333334,1.73028670467e-05,3.99999,4.1411,4.6188,5.65685,7.99999,11.6952,15.4548,23.0351,45.8949,200.0,91.7895,46.0701,30.9096,23.3904,16.0,11.3137,9.23761,8.28222,8.00001
1.0,0.0,-0.1078668824,7.08416666667e-06,0.333334,1.73028670467e-05,3.99999,4.1411,4.6188,5.65685,7.99999,11.6952,15.4548,23.0351,45.8949,200.0,91.7895,46.0701,30.9096,23.3904,16.0,11.3137,9.23761,8.28222,8.00001
1.0,0.0,-0.1092002184,7.08416666667e-06,0.333334,1.73028670467e-05,3.99999,4.1411,4.6188,5.65685,7.99999,11.6952,15.4548,23.0351,45.8949,200.0,91.7895,46.0701,30.9096,23.3904,16.0,11.3137,9.23761,8.28222,8.00001
1.0,0.0,-0.1105335544,7.08416666667e-06,0.333334,1.73028670467e-05,3.99999,4.1411,4.6188,5.65685,7.99999,11.6952,15.4548,23.0351,45.8949,200.0,91.7895,46.0701,30.9096,23.3904,16.0,11.3137,9.23761,8.28222,8.00001
1.0,0.0,-0.1118668904,7.08416666667e-06,0.333334,1.73028670467e-05,3.99999,4.1411,4.6188,5.65685,7.99999,11.6952,15.4548,23.0351,45.8949,200.0,91.7895,46.0701,30.9096,23.3904,16.0,11.3137,9.23761,8.28222,8.00001
1.0,0.0,-0.1132002264,7.08416666667e-06,0.333334,1.73028670467e-05,3.99999,4.1411,4.6188,5.65685,7.99999,11.6952,15.4548,23.0351,45.8949,200.0,91.7895,46.0701,30.9096,23.3904,16.0,11.3137,9.23761,8.28222,8.00001
1.0,0.0,-0.1145335624,7.08416666667e-06,0.333334,1.73028670467e-05,3.99999,4.1411,4.6188,5.65685,7.99999,11.6952,15.4548,23.0351,45.8949,200.0,91.7895,46.0701,30.9096,23.3904,16.0,11.3137,9.23761,8.28222,8.00001
1.0,0.0,-0.1158668984,7.08416666667e-06,0.333334,1.73028670467e-05,3.99999,4.1411,4.6188,5.65685,7.99999,11.6952,15.4548,23.0351,45.8949,200.0,91.7895,46.0701,30.9096,23.3904,16.0,11.3137,9.23761,8.28222,8.00001
1.0,0.0,-0.1172002344,7.08416666667e-06,0.333334,1.73028670467e-05,3.99999,4.1411,4.6188,5.65685,7.99999,11.6952,15.4548,23.0351,45.8949,200.0,91.7895,46.0701,30.9096,23.3904,16.0,11.3137,9.23761,8.28222,8.00001
1.0,0.0,-0.1185335704,7.08416666667e-06,0.333334,1.73028670467e-05,3.99999,4.1411,4.6188,5.65685,7.99999,11.6952,15.4548,23.0351,45.8949,200.0,91.7895,46.0701,30.9096,23.3904,16.0,11.3137,9.23761,8.28222,8.00001
